wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,fi-changes,ostrand,scattering,intensity,ana,acm,arl,boc,fch,frch,lch,wcd,wfr,tach,ataf,chd,lca,lcd,csb,csbs,acdf,cho,is-change-prone
55,2,1,12,69,0,9,4,54,0.240740741,1531,1,0,0.018867925,0.287878788,1,1,26.8,8,1.9455,76,3,51,0,2,8,1,0.385508048,0.66172246,0.897144177,0.890837798,0.540734075,0.343507793,0.354003015,0.681457378,0.848013171,0.601780799,0.209017958,0.542642571,0.176891124,0.179203394,0.342206725,1
3,2,8,9,6,0,8,1,2,0,20,1,1,0.714285714,0.666666667,0,0,5.333333333,1,0.6667,62,4,62,0,1,4,3,0.706939747,0.207933012,0.480882491,0.381026095,0.921797182,0.264152641,0.959748634,0.977888414,0.715799696,0.479597194,0.37625435,0.934944689,0.212967375,0.075707388,0.548101885,0
8,2,0,4,15,0,1,4,6,0.821428571,102,0.75,2,0.142857143,0.238095238,0,0,10.75,3,1,41,3,27,0,1,6,4,0.801425658,0.034674989,0.286241781,0.984007197,0.445915554,0.876526052,0.759387262,0.834894234,0.556865215,0.672521891,0.645025007,0.313294106,0.566566268,0.49254004,0.837093965,0
25,2,0,7,63,208,2,7,11,0.894230769,531,0.769230769,2,0.08,0.178571429,0,0,19.72,4,1.52,41,3,42,7.5,3,9,2,0.8913184,0.457730297,0.211950182,0.493872095,0.142975845,0.449623947,0.841929707,0.024809026,0.294150191,0.31300693,0.089768411,0.489785913,0.998393797,0.082250458,0.217331386,0
20,1,3,57,36,176,52,5,19,0.894736842,193,0.5,1,0,0.291666667,0,0,8.55,1,0.95,27,1,36,6.5,2,4,2,0.420008662,0.359425665,0.498551075,0.14230838,0.737695815,0.477411439,0.339167859,0.831637334,0.952080603,0.492337268,0.574812598,0.832230025,0.749219624,0.367086451,0.944165623,0
19,1,3,29,25,167,26,3,18,0.962962963,343,1,1,0,0.25,0,0,16.89473684,1,0.8947,65,1,21,6.4,2,9,2,0.950515364,0.931216829,0.715372083,0.870969538,0.514034803,0.332539776,0.581589036,0.562681202,0.143048624,0.731730737,0.235484797,0.421286207,0.304678102,0.933727335,0.482706201,0
18,1,7,40,22,147,40,0,17,0.921568627,314,1,0,0,0.25,0,0,16.27777778,1,0.9444,22,3,15,5.5,3,1,5,0.864856924,0.498303958,0.360775233,0.998375685,0.60538526,0.627094724,0.492571551,0.079698747,0.604674564,0.785469085,0.822502315,0.852130344,0.835850604,0.585047691,0.958656865,0
20,3,0,2,29,100,2,1,12,0.671052632,569,1,0,0.538461538,0.233333333,2,11,27.25,6,2.7,45,4,53,7.5,3,4,2,0.364203875,0.926278468,0.575688612,0.781345381,0.210545798,0.780376059,0.720861466,0.849593724,0.287850168,0.276060369,0.409644583,0.180651952,0.81562895,0.948912668,0.59743309,0
15,1,0,1,16,99,1,0,14,0.857142857,3574,0,0,0,0.339285714,0,0,237.2,8,3.3333,88,1,40,0,3,4,4,0.269812707,0.109800931,0.470418937,0.370958755,0.235475198,0.293708366,0.01133072,0.014636541,0.495562942,0.661432508,0.964706659,0.514182918,0.310860268,0.044004331,0.651560569,1
21,1,0,6,54,98,3,6,9,0.765,509,1,5,0,0.204081633,0,0,22.76190476,3,1.2857,21,3,26,0,2,2,5,0.124741002,0.043310337,0.564745679,0.663051949,0.860827949,0.232283079,0.314016359,0.982216462,0.572502052,0.034158191,0.283733716,0.746757539,0.450273007,0.302679304,0.316355376,1
36,1,0,23,77,92,18,5,8,0.776870748,1568,0.523809524,1,0,0.182857143,1,1,41.97222222,4,1.3056,7,2,67,0,3,1,2,0.096343627,0.973764618,0.84129624,0.543242761,0.535270732,0.414031816,0.131441217,0.034124972,0.645445084,0.25271096,0.788537002,0.938903765,0.56818414,0.550857784,0.133884966,0
14,1,0,9,16,91,9,0,14,2,228,0,0,0,0.261904762,0,0,15.28571429,2,1.6429,52,1,10,0,2,4,4,0.179550518,0.135412262,0.912202445,0.026487402,0.89458048,0.805530805,0.604215506,0.455370644,0.914426422,0.904752539,0.687490901,0.841965693,0.523987818,0.444943567,0.385210685,0
16,2,0,5,26,80,2,5,8,0.866666667,207,0.857142857,0,0.083333333,0.214285714,0,0,11.5,2,0.75,72,1,33,0,1,2,3,0.200925344,0.566595405,0.799038329,0.791168802,0.106523467,0.624936824,0.834920134,0.682524893,0.994686604,0.602451488,0.999611322,0.066957383,0.69742502,0.86577561,0.970911483,0
19,1,0,14,45,79,2,12,6,0.709401709,629,1,7,0,0.25,0,0,31.42105263,4,1.1053,98,4,33,0,1,1,5,0.123505707,0.508583947,0.826039116,0.607715868,0.141515651,0.651954131,0.950270804,0.971599306,0.809403117,0.109832991,0.941915361,0.397947764,0.159634615,0.769610555,0.279888785,0
13,1,6,16,19,70,15,1,11,0.729166667,121,1,0,0,0.769230769,0,0,8,2,1,72,3,65,0,1,1,3,0.152424407,0.886441153,0.126601435,0.16175418,0.469064421,0.244832815,0.401563702,0.085453989,0.533202271,0.80216005,0.180062056,0.749977009,0.519985732,0.996136809,0.546452663,0
12,1,3,9,18,66,7,2,12,2,78,0,0,0,0.541666667,1,1,5.5,4,1.1667,64,3,18,0,3,9,2,0.141312112,0.371920305,0.263064828,0.771787865,0.679991452,0.564398275,0.003402194,0.500737389,0.086452463,0.957345709,0.442274658,0.271503985,0.948691114,0.533519529,0.195689363,0
14,1,0,12,22,61,11,1,13,0.692307692,175,0,3,0,0.320512821,0,0,11.28571429,3,0.7143,11,3,55,0,1,6,1,0.799481114,0.528392731,0.459774533,0.501412677,0.534436813,0.505112125,0.210704995,0.634357153,0.680338666,0.379396826,0.996543842,0.091385026,0.875202031,0.740477171,0.677109864,0
15,2,0,17,58,37,4,17,4,0.779220779,751,0,6,0.35,0.19047619,0,0,48.33333333,5,1.5333,46,3,7,0,1,4,4,0.199890438,0.537806905,0.949425407,0.166060541,0.93564449,0.833164054,0.133995377,0.589482268,0.912718116,0.85388876,0.491112498,0.210383914,0.862384289,0.025389111,0.286579887,0
8,3,0,2,23,26,0,2,6,0.928571429,155,0,0,0.913793103,0.5,0,0,18.125,1,0.625,62,3,23,0,2,4,3,0.087892247,0.00967913,0.932687232,0.734274982,0.329528863,0.031595326,0.792971808,0.921076713,0.914757199,0.935471557,0.658241412,0.037213192,0.156475422,0.482434547,0.476531069,1
12,1,0,15,34,26,3,14,5,0.675324675,480,0.928571429,6,0,0.321428571,0,0,37.83333333,4,1.1667,64,1,7,0,1,1,1,0.490759319,0.372115103,0.651111168,0.6235181,0.030022767,0.352453163,0.108359696,0.92096392,0.048349847,0.567407341,0.381256551,0.069106632,0.412823284,0.984762713,0.154453358,0
8,1,0,1,25,22,1,0,6,0.428571429,126,1,0,0,0.178571429,0,0,14.625,5,1.375,49,3,33,0,1,8,5,0.12799397,0.344862948,0.073317539,0.3905088,0.970206572,0.575976605,0.132044487,0.922422873,0.654316795,0.033138835,0.62487734,0.216922993,0.097405848,0.234694208,0.469668771,0
7,2,0,12,15,11,4,12,5,0.766666667,84,0.4,5,0.705882353,0.6,0,0,10.28571429,1,0.7143,54,4,41,0,3,5,2,0.122418085,0.994397469,0.694464761,0.316091999,0.379218547,0.976813512,0.015485919,0.124315265,0.351386441,0.73988925,0.728826304,0.274781071,0.064132127,0.270953756,0.5883862,1
5,1,0,17,5,10,17,0,5,2,5,0,0,0,0.6,0,0,0,1,1,42,2,43,0,3,1,2,0.512044536,0.871035586,0.948999694,0.384639389,0.884946576,0.99726896,0.216413665,0.434743922,0.385956702,0.334293423,0.564719931,0.034225934,0.807924605,0.932934081,0.957037744,1
5,1,0,6,6,10,2,5,4,1,11,0,1,0,0.7,0,0,1,1,0.8,77,3,30,0,3,1,1,0.062729681,0.72808306,0.736689022,0.157981284,0.542501052,0.127584616,0.443804056,0.834242537,0.532638353,0.650060071,0.056240802,0.542926395,0.893582612,0.781991065,0.553896,1
13,1,2,14,34,10,3,12,8,0.682291667,455,0.875,4,0,0.230769231,0,0,32.76923077,1,0.9231,86,4,52,0,2,9,5,0.881607246,0.323012572,0.561932037,0.043869748,0.288468988,0.493249646,0.841138157,0.758496558,0.045579347,0.987665517,0.562590953,0.007903863,0.060427146,0.979770187,0.628972863,1
7,1,0,4,27,7,4,0,4,0.708333333,135,0.5,0,0,0.388888889,0,0,17.71428571,5,1.4286,55,3,24,0,3,2,3,0.331303381,0.800672775,0.786354658,0.458972958,0.320949424,0.649342748,0.907941136,5.96E-04,0.160570659,0.226078486,0.625226479,0.843292263,0.502727016,0.623564135,0.43219936,0
7,1,0,4,17,5,1,4,5,0.666666667,109,1,2,0,0.392857143,0,0,14.14285714,2,1.2857,77,1,24,0,2,2,3,0.744933082,0.158528933,0.494684654,0.386400914,0.905370116,0.081905409,0.659602735,0.632816255,0.647933149,0.266516178,0.577873481,0.362629323,0.825905908,0.038701808,0.429886909,0
7,2,0,2,10,5,1,2,5,0.583333333,1311,1,0,0.428571429,0.416666667,0,0,185.1428571,5,2.1429,73,1,28,0,2,1,3,0.44187766,0.293934576,0.473908182,0.827762243,0.106085426,0.916346411,0.525479118,0.447937891,0.916185839,0.308231675,0.519825037,0.615679086,0.178531052,0.527968416,0.509469708,0
4,4,0,6,8,4,2,5,2,2,42,0,0,0.896551724,0.35,1,1,9.5,4,1.5,22,3,26,0,3,6,2,0.544343675,0.133434464,0.805707412,0.649752365,0.943755417,0.332877733,0.485275901,0.420087553,0.166495312,0.456332518,0.152519714,0.869785752,0.060083011,0.078056909,0.672528416,0
6,2,0,5,17,3,2,3,4,0.2,102,1,0,0.571428571,0.611111111,0,0,15.83333333,2,0.6667,73,3,30,0,1,3,5,0.094702972,0.344098889,0.572179684,0.325272906,0.478506283,0.188981528,0.943712555,0.685117621,0.097906526,0.161630569,0.979401139,0.235758503,0.304506592,0.523050679,0.716095079,0
3,4,0,6,6,3,3,5,0,2,22,0,0,0.992366412,0.571428571,1,2,6.333333333,1,0.3333,58,4,62,0,3,3,1,0.973614039,0.126889078,0.174837605,0.06908229,0.318872083,0.348908363,0.843467794,0.54051428,0.66335464,0.992523074,0.369058815,0.938287931,0.739543237,0.664937395,0.402239377,0
2,4,0,8,9,1,2,6,0,2,64,0,0,0.952380952,0.583333333,1,1,31,1,0.5,43,4,49,0,2,1,1,0.118924599,0.592053898,0.76689065,0.867977597,0.056517523,0.220206828,0.516406546,0.964837103,0.376458359,0.238905145,0.981650337,0.730893481,0.02184446,0.85115429,0.615935965,1
2,1,0,15,2,1,14,1,2,2,2,0,0,0,1,0,0,0,1,1,37,1,54,0,3,6,2,0.545355404,0.216557997,0.298807825,0.905507809,0.12674214,0.997284361,0.773087917,0.156690014,0.669094327,0.848113167,0.058604671,0.955402219,0.147866705,0.509164439,0.011213202,0
13,1,0,79,22,0,79,0,10,0.125,145,0,0,0,0.294871795,1,1,10,6,1.2308,68,3,66,0,3,1,5,0.664965409,0.883540835,0.677161724,0.881218105,0.594765748,0.111999156,0.73055448,0.593223583,0.799752854,0.192899821,0.075606834,0.745958832,0.140547285,0.138064568,0.645583123,0
5,4,0,8,20,0,2,6,0,0.625,389,1,2,0.833333333,0.325,1,1,76,5,2,97,1,9,0,3,5,4,0.40839801,0.003807266,0.536753769,0.724425461,0.367795042,0.391283602,0.878402965,0.108168314,0.81267484,0.171440075,0.258863721,0.877566865,0.41176176,0.257223841,0.102752477,1
14,3,0,7,31,0,1,7,12,0.461538462,182,1,1,0.566666667,0.196428571,2,2,11.85714286,6,1.2857,77,1,56,0,3,7,5,0.646908722,0.219349274,0.126020616,0.202525681,0.3328715,0.421798742,0.883135878,0.489399485,0.047770089,0.139368647,0.464651273,0.75916133,0.300562333,0.81195407,0.603615333,1
26,1,0,13,58,0,0,13,22,0.344,719,1,4,0,0.184615385,0,0,26.26923077,2,1.1538,4,3,64,0,2,6,1,0.41517396,0.188898898,0.805722057,0.923831383,0.920500552,0.621620066,0.630794714,0.096033024,0.70131668,0.173848488,0.922142816,0.071212366,0.287197769,0.536211203,0.605526674,0
4,1,0,7,6,0,7,0,2,0.875,83,0.125,7,0,0.555555556,1,1,17.75,5,1.5,7,1,45,0,2,2,5,0.434881113,0.955512508,0.66090982,0.234941447,0.594061992,0.518954547,0.007874155,0.995052704,0.937441657,0.169670743,0.339518621,0.547860225,0.382914288,0.772327881,0.389857323,1
8,2,0,9,18,0,2,8,7,0.5,228,0.5,0,0.714285714,0.357142857,1,2,27.25,1,0.25,66,3,64,0,1,3,4,0.439099976,0.396186261,0.726178029,0.512641658,0.765001599,0.737889002,0.9205177,0.117468613,0.050383145,0.267385739,0.873356917,0.403581679,0.195537911,0.24777741,0.137830145,0
6,3,0,4,15,0,1,3,6,0.466666667,113,1,2,0.615384615,0.5,1,3,17.33333333,1,0.8333,52,4,45,0,2,1,3,0.797435207,0.25350281,0.324194499,0.350336576,0.63380403,0.191169555,0.051994459,0.934006873,0.177533372,0.113465501,0.461305875,0.904387397,0.170838022,0.308968947,0.994637481,0
13,4,0,14,31,0,0,14,13,0,120,1,1,0.6,0.205128205,0,0,8.153846154,1,0.9231,4,1,18,0,1,1,3,0.941960258,0.249309358,0.017513607,0.139012652,0.456747017,0.980012456,0.858457174,0.15033051,0.063263261,0.452497169,0.018037051,0.583550699,0.509672035,0.112073854,0.621839793,0
28,2,0,12,57,0,0,12,23,0,200,1,1,0.73,0.185714286,1,9,6.107142857,1,0.9643,39,1,36,0,2,5,4,0.093932441,0.780426762,0.673670249,0.542732679,0.738436721,0.500946115,0.302981529,0.921791709,0.373528096,0.551407986,0.994479975,0.601867695,0.260911515,0.270883408,0.738045687,0
4,2,0,4,9,0,2,3,3,0.833333333,31,0.5,0,0.25,0.416666667,0,0,6.25,1,0.75,20,4,64,0,3,4,2,0.79128928,0.696390171,0.143555059,0.368661304,0.850124391,0.259684404,0.827886786,0.08771531,0.061254505,0.955721365,0.800338039,0.752448414,0.090149403,0.461697724,0.147872953,1
9,2,0,8,38,0,1,7,9,0.083333333,695,1,0,0.222222222,0.314814815,2,2,75.55555556,14,3.2222,72,2,59,0,2,6,1,0.716926037,0.659220578,0.053070923,0.331622085,0.573804324,0.892031195,0.065337465,0.925213379,0.28250863,0.077844206,0.589885588,0.610039369,0.224188586,0.485245891,0.759191128,0
7,3,0,4,16,0,1,3,6,0.333333333,179,1,2,0.571428571,0.476190476,1,3,24.14285714,1,0.8571,58,1,16,0,3,6,3,0.327754596,0.585227958,0.208070758,0.21318545,0.072092912,0.891816175,0.786226505,0.92253122,0.363445655,0.117385555,0.911046316,0.32487731,0.071311603,0.28563738,0.088645159,0
12,3,1,7,37,0,2,5,9,0.454545455,357,1,1,0.444444444,0.416666667,1,3,28.08333333,1,0.8333,71,1,28,0,2,4,5,0.78454359,0.668845393,0.112576463,0.915288204,0.783889104,0.545861818,0.587339506,0.071924659,0.318040448,0.813506432,0.717752878,0.561074225,0.017331748,0.426344789,0.755460197,0
4,3,0,3,5,0,1,2,3,1.333333333,27,0,0,0.892857143,0.5,1,2,5.5,1,0.75,83,2,7,0,1,8,5,0.682539686,0.488494589,0.100279147,0.9083841,0.745816095,0.575981723,0.816800338,0.182068321,0.416599599,0.529300897,0.245587744,0.079533636,0.897425242,0.523217661,0.463527978,1
15,1,0,8,29,0,5,3,9,0.285714286,1538,1,0,0,0.321428571,0,0,101.2666667,10,2,38,2,40,0,1,6,3,0.082870136,0.694482586,0.579320692,0.574125781,0.839444098,0.988010204,0.23779791,0.709995467,0.30505453,0.16820847,0.250705361,0.465398016,0.643744919,0.134527656,0.971774119,0
4,1,0,29,5,0,29,0,1,0.148148148,172,0,0,0,0.45,0,0,39.75,8,4.25,7,2,59,0,2,9,2,0.3447267,0.77892978,0.89035641,0.942577811,0.464294655,0.627862952,0.930594232,0.612568842,0.175036098,0.422457723,0.112035443,0.500027703,0.608814836,0.608045099,0.552806882,0
11,3,0,4,25,0,1,3,7,0.625,447,1,0,0.444444444,0.287878788,1,3,39.27272727,6,1.5455,35,2,61,0,2,2,4,0.258330707,0.42772909,0.277899136,0.323961226,0.136625904,0.944629215,0.932813726,0.717482977,0.484730167,0.853541066,0.296767706,0.677510769,0.064706416,0.385146444,0.439846981,1
24,1,0,20,24,276,19,1,24,2,24,0,0,0,0.291666667,0,0,0,1,1,62,1,63,5.5,1,4,4,0.978679366,0.954536507,0.474944374,0.334928962,0.513999327,0.460694982,0.11801381,0.11379752,0.730514662,0.30472095,0.689117608,0.36570432,0.377995643,0.261953375,0.761938931,0
35,1,0,5,51,253,1,4,7,0.719814241,3060,0.210526316,1,0,0.405882353,0,0,85.88571429,112,7.8286,96,2,22,9.1,1,8,1,0.260073358,0.316792732,0.40087685,0.819372937,0.345627573,0.448897611,0.812536638,0.062002036,0.769377786,0.145567144,0.28237356,0.111807038,0.36050164,0.10750286,0.467443361,0
24,1,3,7,34,140,3,4,21,0.855978261,593,1,0,0,0.171875,0,0,23.04166667,20,2.125,44,3,37,5.5,1,7,3,0.491425684,0.213776233,0.472658232,0.163762045,0.848503652,0.316711526,0.650642222,0.923611892,0.1921174,0.848525359,0.734225258,0.592462942,0.295806395,0.538948554,0.735810725,0
13,2,0,24,64,72,1,24,2,0.866666667,856,0.2,2,0.388888889,0.155555556,1,1,64.46153846,4,1.1538,72,2,68,0,2,5,3,0.032351801,0.766687492,0.029296161,0.507011631,0.009311361,0.197465367,0.16792271,0.610295448,0.247321807,0.39751711,0.285373324,0.708396293,0.141555847,0.053793602,0.377636234,1
12,1,0,3,12,66,3,0,12,2,12,0,0,0,0.583333333,0,0,0,1,1,76,4,18,0,2,2,1,0.350040857,0.280764331,0.369594468,0.344884034,0.312116809,0.248590165,0.632997967,0.05253259,0.81613169,0.028570844,0.541420137,0.323578035,0.407542158,0.119154407,0.722996077,1
13,1,1,41,21,64,41,0,11,0.611111111,197,1,0,0,0.292307692,0,0,13.92307692,4,1.4615,49,3,26,0,1,8,4,0.456908388,0.589428857,0.903184636,0.028920603,0.391841523,0.156899006,0.617492316,0.187804298,0.937783343,0.802484233,0.618042012,0.148923154,0.209567132,0.718055824,0.4980648,1
14,3,0,5,29,53,1,4,6,0.692307692,514,1,1,0.541666667,0.333333333,1,4,34.92857143,14,2.2857,44,4,8,0,3,8,3,0.149030033,0.480465261,0.914838554,0.659904669,0.113516394,0.350897685,0.804292673,0.968313703,0.385933098,0.509517839,0.149442498,0.270519485,0.999087144,0.85275768,0.190013978,0
13,3,0,6,29,38,2,4,11,0.716666667,178,0.6,1,0.466666667,0.285714286,1,2,12.30769231,1,0.6154,19,2,23,0,1,4,2,0.545356751,0.704229126,0.442062654,0.875856067,0.577317222,0.420126902,0.53408782,0.888238242,0.795763102,0.406119928,0.660087053,0.822387741,0.468639062,0.505112299,0.400192222,0
7,1,0,4,8,19,4,0,7,0.979166667,49,0,2,0,0.523809524,0,0,4.857142857,2,0.7143,7,1,25,0,2,5,4,0.427711116,0.063887936,0.765972887,0.034556729,0.549381244,0.241535389,0.590188928,0.530513076,0.841868205,0.283682543,0.799718878,0.303772764,0.133047549,0.553953506,0.685586285,0
11,2,0,19,40,17,2,19,2,0.775,599,0,6,0.4,0.222222222,0,0,52.36363636,15,2.8182,3,1,57,0,2,4,3,0.881564815,0.087692712,0.015451469,0.290607525,0.818405199,0.31288457,0.721631461,0.633145836,0.966924194,0.369329005,0.941656066,0.040966005,0.08641359,0.149516784,0.388563504,0
6,1,0,14,6,15,14,0,6,2,6,0,0,0,0.375,0,0,0,1,1,54,2,53,0,1,5,3,0.737597632,0.783281117,0.384584463,0.067016427,0.978024314,0.793184327,0.404558111,0.175062546,0.161137321,0.55873228,0.644369922,0.293659345,0.434884293,0.044890635,0.954895568,1
6,3,0,2,19,15,2,0,4,1.12,184,0,0,0.8125,0.5,1,1,28.83333333,14,2.8333,13,3,67,0,3,5,5,0.31403742,0.974011489,0.463380863,0.421317949,0.134972773,0.750160021,0.341883195,0.981484851,0.292474917,0.480965054,0.476344687,0.505830044,0.905203847,0.384499345,0.240063295,1
6,1,5,38,8,15,37,1,6,2,21,0,0,0,0.583333333,0,0,2.5,1,0.8333,69,3,18,0,1,4,1,0.959781468,0.717328578,0.181772786,0.806223665,0.043025384,0.114750772,0.201238143,0.348838398,0.487677414,0.895380726,0.704218251,0.201157008,0.129045887,0.449616799,0.303842963,0
6,1,5,19,19,13,18,1,5,1,119,0.333333333,0,0,0.6,0,0,18.33333333,1,0.6667,16,2,13,0,1,7,3,0.898299196,0.305160035,0.866897026,0.724804219,0.162720433,0.842639018,0.091198412,0.189192582,0.064051581,0.920525779,0.344204425,0.022968334,0.10312693,0.860911673,0.193173658,0
7,3,0,7,21,9,2,6,6,0.777777778,120,0.333333333,1,0.705882353,0.333333333,2,3,15.71428571,6,1.7143,85,1,25,0,1,8,5,0.872315783,0.346344552,0.913657692,0.780202352,0.146863919,0.78281133,0.275791397,0.194231519,0.512044847,0.595083376,0.076796203,0.41872004,0.325101254,0.738023948,0.213305952,0
6,2,0,11,18,9,10,1,5,0.2,65,1,0,0.733333333,0.333333333,1,1,9.666666667,3,1.1667,100,3,66,0,3,8,1,0.08927744,0.431090992,0.56857032,0.619877373,0.251814834,0.753150437,0.62728585,0.518756165,0.028601279,0.270848233,0.524750434,0.469006124,0.105236773,0.316172391,0.187231906,1
7,3,0,7,21,9,2,6,6,0.777777778,120,0.333333333,1,0.705882353,0.333333333,2,3,15.71428571,6,1.7143,12,4,55,0,1,6,3,0.96759769,0.877468954,0.326887065,0.274380736,0.174551932,0.323058481,0.317262384,0.483717832,0.101298234,0.337732712,0.394353685,0.36109973,0.553872482,0.519793634,0.203396169,0
7,3,0,7,21,9,2,6,6,0.777777778,120,0.333333333,1,0.705882353,0.333333333,2,3,15.71428571,6,1.7143,51,1,6,0,3,2,1,0.183684884,0.059930404,0.443003148,0.390662949,0.815521522,0.803111591,0.245965342,0.798782865,0.643264793,0.780804162,0.97996932,0.007025755,0.744656882,0.993212307,0.351688447,0
7,3,0,7,21,9,2,6,6,0.777777778,120,0.333333333,1,0.705882353,0.333333333,2,3,15.71428571,6,1.7143,15,4,19,0,3,2,1,0.519751161,0.819862738,0.054144716,0.859911683,0.467266702,0.941745678,0.709935717,0.804428575,0.178881156,0.069353571,0.531865962,0.30616453,0.553567741,0.088342361,0.947717211,0
8,3,0,4,21,8,0,4,7,0.285714286,116,1,1,0.3,0.4375,2,2,13.25,2,1,77,2,19,0,2,8,3,0.012402455,0.458172949,0.417337731,0.339921223,0.928837735,0.82897346,0.807925633,0.233570418,0.580259338,0.877995343,0.987326994,0.552386897,0.673713205,0.309419842,0.745364575,0
8,2,4,8,11,8,4,4,8,0.428571429,54,1,0,0.416666667,0.3125,2,2,5.625,4,1.25,14,1,70,0,3,2,4,0.902009851,0.809903201,0.759658258,0.171993039,0.045983687,0.507132782,0.085093771,0.992720553,0.854505133,0.139798479,0.565041514,0.48572042,0.305913956,0.714766757,0.6376225,1
13,1,9,12,14,8,12,0,9,0.444444444,293,1,0,0,0.461538462,0,0,21.30769231,7,2.0769,45,3,41,0,3,3,4,0.882862174,0.900877361,0.241763921,0.192367667,0.177125285,0.788666088,0.91548225,0.462677356,0.48176134,0.931448884,0.72277644,0.488546931,0.025066898,0.775586262,0.345710219,1
6,3,0,3,19,7,0,3,3,0.8,107,0.5,0,0.636363636,0.4,2,3,16.16666667,1,0.6667,35,2,54,0,1,5,5,0.154099828,0.686379264,0.534706748,0.938187909,0.085109204,0.780931327,0.12277461,0.818746536,0.804032286,0.690442957,0.978329822,0.42633126,0.322289763,0.191789014,0.596472984,0
4,1,0,2,17,6,2,0,4,2,147,0,0,0,0.333333333,0,0,35.75,1,0.75,91,1,60,0,1,2,5,0.771429925,0.371861641,0.51002703,0.747993104,0.754743317,0.618043892,0.339335209,0.870493233,0.964789388,0.264312481,0.09376552,0.632881246,0.322847219,0.164850955,0.288061897,0
5,2,0,10,23,6,1,10,2,0.8,185,0,3,0.4,0.333333333,0,0,35,1,0.6,72,3,33,0,1,4,5,0.799622502,0.815686843,0.543128664,0.256744922,0.636113414,0.899749924,0.603529731,0.921025541,0.899358256,0.291880746,0.122929098,0.540139042,0.17985817,0.62770213,0.143895118,1
6,3,0,5,20,5,1,4,5,0.825,247,0,1,0.722222222,0.333333333,1,4,38.83333333,16,3.6667,28,3,12,0,2,1,2,0.765788249,0.513898406,0.929935609,0.785384128,0.813681096,0.337330902,0.695326968,0.145809098,0.876086854,0.416549847,0.82224488,0.452503529,0.643784244,0.931646871,0.354900358,0
5,1,5,10,6,4,9,1,5,0.5,19,1,0,0,0.8,0,0,2.6,1,0.8,45,1,38,0,3,3,3,0.913437281,0.667024133,0.916829642,0.124918707,0.601162964,0.106539409,0.71018191,0.991013115,0.088294962,0.831619289,0.924794298,0.965684202,0.307699539,0.490315268,0.710038491,1
4,1,0,15,36,4,0,15,2,0.333333333,356,1,1,0,0.5,0,0,87.75,1,0.75,12,1,52,0,2,8,3,0.757319233,0.828910245,0.843869326,0.215043342,0.062190927,0.407566139,0.371200095,0.09138759,0.797004891,0.657635887,0.777675616,0.530086075,0.028341733,0.880645747,0.715108551,0
3,1,6,28,5,3,25,3,3,2,15,0,0,0,0.833333333,0,0,4,1,0.6667,51,4,59,0,2,9,4,0.439044565,0.637586882,0.901290278,0.217289989,0.956753929,0.732038267,0.57958304,0.207671683,0.524453425,0.65177487,0.842644715,0.658726018,0.022944268,0.900899047,0.199833798,0
3,2,0,4,8,3,0,4,3,2,31,0,0,0.714285714,0.777777778,1,2,9.333333333,1,0.6667,80,1,25,0,3,9,2,0.383487218,0.128164918,0.999286695,0.482709769,0.613420823,0.337048904,0.703355171,0.683533461,0.798385098,0.749252147,0.560037229,0.279680148,0.141849923,0.085703387,0.913229317,0
3,2,0,5,8,3,1,4,3,2,31,0,0,0.714285714,0.777777778,1,2,9.333333333,1,0.6667,14,3,65,0,1,3,5,0.755968388,0.127763791,0.251074,0.914086087,0.227344555,0.426217959,0.104371835,0.922040841,0.947126577,0.936768026,0.075971938,0.733062791,0.816905632,0.178130841,0.607250542,0
3,1,0,7,7,3,4,5,2,2,21,0,0,0,0.666666667,0,0,6,1,0.6667,44,2,36,0,1,1,3,0.220221682,0.232470826,0.569232942,0.22267904,0.084047452,0.537784122,0.403608595,0.381663773,0.445442415,0.957981996,0.332835357,0.912536261,0.185638376,0.058805034,0.108723306,0
3,2,0,4,8,3,0,4,3,2,31,0,0,0.714285714,0.777777778,1,2,9.333333333,1,0.6667,98,4,58,0,1,3,2,0.497139354,0.866331719,0.875334798,0.579501076,0.208988062,0.639728188,0.984731799,0.591807708,0.311172062,0.35101885,0.023047599,0.051352282,0.891212634,0.632040099,0.879554921,0
9,3,1,6,21,2,3,4,7,0.475,278,1,1,0.533333333,0.355555556,1,3,29.33333333,1,0.7778,60,4,30,0,1,1,5,0.224300017,0.922372211,0.422847839,0.161123809,0.942908859,0.43192758,0.235950366,0.687878249,0.052647961,0.318006044,0.906109554,0.652924445,0.05816874,0.16901074,0.565226676,0
5,2,0,12,10,2,2,12,5,0.8125,74,0,4,0.5,0.4,0,0,13,3,1.6,6,1,70,0,3,7,2,0.616277392,0.485651103,0.733325115,0.090016207,0.942965538,0.355342197,0.030148902,0.965877174,0.666895116,0.926642287,0.988931195,0.06593195,0.943942798,0.6079537,0.031567529,1
9,1,0,11,10,2,11,0,8,0.666666667,83,0.666666667,1,0,0.5,1,1,7.888888889,5,1.1111,32,2,48,0,2,8,2,0.425730397,0.138344471,0.645873451,0.269413981,0.109637307,0.808231346,0.94330191,0.956529536,0.188611735,0.143797412,0.069441225,0.203954638,0.76616759,0.311400494,0.389809015,0
